<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;60;230419;090000;165.75;166.51;165.56;166.17;240042
AAPL;60;230419;100000;166.145;167.2;166.14;166.91;321305
AAPL;60;230419;110000;166.95;167.78;166.92;167.57;290726
AAPL;60;230419;120000;167.62;168.15;167.41;167.86;188023
AAPL;60;230419;130000;167.85;168.08;167.63;167.81;157981
AAPL;60;230419;140000;167.81;168.08;167.6;167.91;175901
AAPL;60;230419;150000;167.93;167.93;167.18;167.62;378776
AAPL;60;230420;090000;166.09;167.33;165.89;166.8;362133
AAPL;60;230420;100000;166.81;167.39;166.665;166.86;322548
AAPL;60;230420;110000;166.87;167.54;166.51;167.27;296998
AAPL;60;230420;120000;167.285;167.87;166.97;167.69;210571
AAPL;60;230420;130000;167.7;167.85;167.45;167.49;172671
AAPL;60;230420;140000;167.46;167.49;166.24;166.56;330128
AAPL;60;230420;150000;166.55;166.65;165.57;166.62;648845
AAPL;60;230421;090000;165.05;166.45;164.89;164.93;458325
AAPL;60;230421;100000;164.9;165.67;164.5;165;472757
AAPL;60;230421;110000;165.02;165.42;164.72;165.2;313850
AAPL;60;230421;120000;165.23;165.23;164.75;164.9;195888
AAPL;60;230421;130000;164.91;165.21;164.69;165.07;228158
AAPL;60;230421;140000;165.09;165.365;164.885;165.03;296630
AAPL;60;230421;150000;165.02;165.065;164.7;165.01;560193
AAPL;60;230424;090000;164.93;165.46;164.42;165.18;205564
AAPL;60;230424;100000;165.16;165.42;164.04;164.05;279433
AAPL;60;230424;110000;164.02;164.41;163.9;164.13;181680
AAPL;60;230424;120000;164.13;164.61;164.05;164.52;120507
AAPL;60;230424;130000;164.5;165.21;164.39;165.14;167917
AAPL;60;230424;140000;165.15;165.44;164.99;165.29;181893
AAPL;60;230424;150000;165.3;165.6;165.09;165.35;622795
AAPL;60;230424;160000;165.36;165.36;165.36;165.36;100
AAPL;60;230425;090000;165.18;166.305;165.07;166.06;389174
AAPL;60;230425;100000;166.03;166.27;165.06;165.22;322568
AAPL;60;230425;110000;165.23;165.63;164.79;164.86;229647
AAPL;60;230425;120000;164.86;164.92;164.385;164.62;190802
AAPL;60;230425;130000;164.62;164.815;163.805;163.94;288270
AAPL;60;230425;140000;163.93;164.52;163.76;164.01;236533
AAPL;60;230425;150000;164;164.42;163.73;163.79;711486
AAPL;60;230426;090000;163.055;164.13;162.83;164.03;367750
AAPL;60;230426;100000;164.01;164.26;163.27;164.18;292795
AAPL;60;230426;110000;164.195;164.93;164.11;164.84;274615
AAPL;60;230426;120000;164.86;165.27;164.14;164.21;209704
AAPL;60;230426;130000;164.28;164.52;163.38;163.51;212233
AAPL;60;230426;140000;163.515;163.865;163.35;163.5;242964
AAPL;60;230426;150000;163.51;164.185;163.315;163.73;679433
AAPL;60;230427;090000;165.19;166.13;165.19;165.45;382728
AAPL;60;230427;100000;165.46;166.61;165.37;166.23;445772
AAPL;60;230427;110000;166.25;166.905;166.14;166.675;324433
AAPL;60;230427;120000;166.7;167.08;166.68;166.99;223342
AAPL;60;230427;130000;167.01;167.45;166.905;167.25;246658
